STATION,MATCHED_SEGID,FTCLASS,ATYPENAME,COUNTY_NAME,PERIOD,VEHICLE_TYPE,OBSERVED,MODELED,DIFF,PCT_DIFF
-819,0154_008.3,Expressway,Urban,Salt Lake,AM,Auto,12136.8174,11400.053919999998,-736.7634800000014,-0.061
-657,2889_000.0,Minor Arterial,Suburban,Utah,AM,Auto,3522.434,4789.842479999999,1267.4084799999991,0.36
-626,0073_034.6,Principal Arterial,Transition,Utah,AM,Auto,6961.8536,8255.357759999999,1293.5041599999986,0.186
-631,0266_001.7,Principal Arterial,Urban,Salt Lake,AM,Auto,3172.2845,5590.137299999999,2417.852799999999,0.762
-636,0154_001.4,Freeway,Transition,Salt Lake,AM,Auto,11967.5151,14075.164350000001,2107.6492500000004,0.176
-680,0015_295.6,Freeway,Urban,Salt Lake,AM,Auto,9722.8524,37923.36144,28200.50904,2.9
-816,0015_299.0,Freeway,Urban,Salt Lake,AM,Auto,20495.650400000002,35922.69616000001,15427.045760000005,0.753
-648,0194_000.8,Expressway,Suburban,Utah,AM,Auto,7273.869,9037.06738,1763.1983800000007,0.242
-674,0015_283.9,Freeway,Urban,Utah,AM,Auto,36811.492399999996,41026.690760000005,4215.198360000009,0.115
-302,0015_289.8,Freeway,Urban,Salt Lake,AM,Auto,7468.2663999999995,39676.13286,32207.866459999997,4.313
-662,2878_004.4,Minor Arterial,Suburban,Utah,AM,Auto,1927.164,3373.2420599999996,1446.0780599999996,0.75
-673,0015_279.6,Freeway,Suburban,Utah,AM,Auto,30243.148800000003,33519.40408,3276.2552799999976,0.108
-675,0092_002.4,Freeway,Transition,Utah,AM,Auto,4086.9207,4127.9096500000005,40.988950000000386,0.01
-676,0092_002.4,Freeway,Transition,Utah,AM,Auto,2601.1864,2348.06812,-253.11828000000014,-0.097
-818,0215_007.7,Freeway,Urban,Salt Lake,AM,Auto,15961.8068,17131.90482,1170.0980199999995,0.073
-632,0145_005.3,Expressway,Suburban,Utah,AM,Auto,8974.8783,9156.72573,181.8474299999998,0.02
-672,0015_278.5,Freeway,Urban,Utah,AM,Auto,30533.612,34764.86224,4231.250240000001,0.139
-658,0089_349.3,Principal Arterial,Urban,Utah,AM,Auto,1871.415,3388.7829600000005,1517.3679600000005,0.811
-335,0173_007.7,Minor Arterial,Urban,Salt Lake,AM,Auto,5124.6832,5048.5192,-76.16400000000067,-0.015
-351,0215_011.5,Freeway,Suburban,Salt Lake,AM,Auto,21154.71,25711.03668,4556.326680000002,0.215
-406,0071_015.7,Principal Arterial,Urban,Salt Lake,AM,Auto,4846.7375999999995,6043.79976,1197.0621600000004,0.247
-407,0068_038.1,Principal Arterial,Transition,Salt Lake,AM,Auto,5937.557,5719.039900000001,-218.51709999999912,-0.037
-617,0215_003.7,Freeway,Suburban,Salt Lake,AM,Auto,10111.488000000001,17310.2028,7198.714799999998,0.712
-317,0210_003.9,Principal Arterial,Transition,Salt Lake,AM,Auto,435.024,597.78864,162.76463999999999,0.374
-670,0015_272.7,Freeway,Suburban,Utah,AM,Auto,33860.646,36811.215000000004,2950.569000000003,0.087
-671,0015_272.7,Freeway,Suburban,Utah,AM,Auto,34613.598000000005,36811.215000000004,2197.6169999999984,0.063
-647,0089_344.0,Principal Arterial,Urban,Utah,AM,Auto,4198.8035,5934.375349999999,1735.5718499999994,0.413
-651,0114_005.0,Principal Arterial,Urban,Utah,AM,Auto,3541.5486,2759.98119,-781.5674100000001,-0.221
-641,0015_271.6,Freeway,Urban,Utah,AM,Auto,32109.3564,36145.10832,4035.751919999999,0.126
-669,0015_269.6,Freeway,Urban,Utah,AM,Auto,30283.544400000002,31865.021160000004,1581.4767600000014,0.052
-642,0052_001.0,Principal Arterial,Urban,Utah,AM,Auto,6325.9488,6220.43304,-105.51576000000023,-0.017
-306,0015_267.0,Freeway,Suburban,Utah,AM,Auto,32112.0082,27677.79294,-4434.215260000001,-0.138
-668,0015_264.2,Freeway,Suburban,Utah,AM,Auto,23226.6404,24428.91936,1202.2789599999996,0.052
-649,0114_000.0,Principal Arterial,Urban,Utah,AM,Auto,5920.3034,7175.6815799999995,1255.3781799999997,0.212
-661,0052_003.1,Principal Arterial,Urban,Utah,AM,Auto,4420.4166000000005,3219.50349,-1200.9131100000004,-0.272
-659,0189_002.7,Principal Arterial,Urban,Utah,AM,Auto,4199.4122,7090.346420000001,2890.934220000001,0.688
-667,0015_261.8,Freeway,Rural,Utah,AM,Auto,24879.7276,29700.3629,4820.635300000002,0.194
-665,0015_260.0,Freeway,Transition,Utah,AM,Auto,22788.7754,27044.51256,4255.737160000001,0.187
-660,0089_329.8,Minor Arterial,Suburban,Utah,AM,Auto,3088.628,5015.6868,1927.0588000000002,0.624
-319,0189_013.1,Expressway,Rural,Utah,AM,Auto,2658.2318999999998,1949.8871,-708.3447999999999,-0.266
-322,0190_001.8,Minor Arterial,Transition,Salt Lake,AM,Auto,572.698,395.72139999999996,-176.97660000000002,-0.309
-350,0189_004.0,Expressway,Suburban,Utah,AM,Auto,5072.704,5275.5934,202.88940000000002,0.04
-354,0171_008.8,Principal Arterial,Urban,Salt Lake,AM,Auto,4159.8337,8106.270480000001,3946.436780000001,0.949
-629,0015_303.4,Freeway,Urban,Salt Lake,AM,Auto,40633.3521,35868.03627,-4765.31583,-0.117
-353,0215_017.5,Freeway,Urban,Salt Lake,AM,Auto,25919.130400000002,31456.37864,5537.248239999997,0.214
-341,0080_123.2,Freeway,Suburban,Salt Lake,AM,Auto,24426.230000000003,28012.515900000002,3586.285899999999,0.147
-301,0080_128.7,Freeway,Rural,Salt Lake,AM,Auto,10265.281599999998,12265.37309,2000.0914900000007,0.195
-333,0071_021.2,Principal Arterial,Urban,Salt Lake,AM,Auto,6660.7836,9422.70288,2761.919280000001,0.415
-677,0080_136.1,Freeway,Rural,Salt Lake,AM,Auto,8538.8288,11613.15072,3074.3219200000003,0.36
-325,0089_377.3,Principal Arterial,Urban,Salt Lake,AM,Auto,2726.4746,6626.33579,3899.86119,1.43
-332,0186_006.0,Principal Arterial,Suburban,Salt Lake,AM,Auto,8424.812399999999,9607.081259999999,1182.2688600000001,0.14
-340,0080_117.7,Freeway,Urban,Salt Lake,AM,Auto,14365.7976,15505.36911,1139.5715099999998,0.079
-409,2330_001.0,Minor Arterial,Urban,Salt Lake,AM,Auto,1338.8444,4765.0612,3426.2168,2.559
-628,0215_027.4,Freeway,Suburban,Davis,AM,Auto,6278.028700000001,6302.004080000001,23.97537999999986,0.004
-624,0067_000.0,Freeway,Suburban,Davis,AM,Auto,8501.1228,13069.76256,4568.63976,0.537
-315,0015_319.5,Freeway,Suburban,Davis,AM,Auto,26983.398800000003,26956.057380000002,-27.341420000000653,-0.001
-625,0067_010.1,Freeway,Suburban,Davis,AM,Auto,8808.987000000001,11721.63095,2912.6439499999997,0.331
-616,0015_313.7,Freeway,Urban,Davis,AM,Auto,28859.8039,28703.750479999995,-156.05342000000383,-0.005
-711,0154_020.0,Expressway,Urban,Salt Lake,AM,Auto,8584.4595,9973.90875,1389.4492499999997,0.162
-329,0089_412.4,Principal Arterial,Urban,Weber,AM,Auto,4123.8474,3707.7702,-416.0771999999997,-0.101
-612,0015_330.1,Freeway,Urban,Davis,AM,Auto,23630.976,23210.4876,-420.48839999999836,-0.018
-634,0085_015.5,Expressway,Suburban,Salt Lake,AM,Auto,6913.826400000001,8234.52708,1320.700679999999,0.191
-627,0154_012.9,Expressway,Suburban,Salt Lake,AM,Auto,15712.7862,12483.18591,-3229.6002900000003,-0.206
-643,2932_001.3,Collector,Transition,Utah,AM,Auto,1407.3042,1952.6971800000001,545.3929800000001,0.388
-601,0092_007.6,Collector,Transition,Utah,AM,Auto,163.0267,159.78418000000002,-3.2425199999999847,-0.02
-602,0092_018.8,Collector,Rural,Utah,AM,Auto,41.7368,44.2554,2.5185999999999993,0.06
-638,0015_242.4,Freeway,Transition,Utah,MD,Auto,10458.6862,10891.96028,433.27407999999923,0.041
-650,0006_159.8,Principal Arterial,Suburban,Utah,MD,Auto,4916.62,4509.41,-407.21000000000004,-0.083
-639,0015_248.8,Freeway,Suburban,Utah,MD,Auto,16269.3471,17649.669110000003,1380.3220100000017,0.085
-655,0015_253.6,Freeway,Rural,Utah,MD,Auto,21222.1561,22982.857880000003,1760.701780000003,0.083
-653,0156_001.0,Principal Arterial,Urban,Utah,MD,Auto,12345.3656,12074.80628,-270.5593199999985,-0.022
-646,0077_007.4,Principal Arterial,Suburban,Utah,MD,Auto,11233.348,11366.51285,133.1648499999992,0.012
-664,0089_326.5,Principal Arterial,Suburban,Utah,MD,Auto,0.0,6228.447929999999,6228.447929999999,inf
-312,0006_181.6,Expressway,Rural,Utah,MD,Auto,3851.9585999999995,4893.02016,1041.0615600000006,0.27
-321,0006_146.9,Principal Arterial,Rural,Utah,MD,Auto,492.0748,537.27702,45.20222000000001,0.092
-327,0006_174.4,Expressway,Suburban,Utah,MD,Auto,10067.625,12610.68588,2543.060880000001,0.253
-349,0015_246.9,Freeway,Transition,Utah,MD,Auto,14322.863500000001,15318.483839999999,995.6203399999977,0.07
-416,0089_297.1,Expressway,Rural,Utah,MD,Auto,946.5899999999999,1070.856,124.26600000000008,0.131
-611,0015_258.8,Freeway,Suburban,Utah,MD,Auto,34252.142400000004,41188.824360000006,6936.681960000002,0.203
-815,0080_104.3,Freeway,Transition,Salt Lake,MD,Auto,8235.874,6193.6636,-2042.2104,-0.248
-348,0015_340.3,Freeway,Suburban,Weber,MD,Auto,36264.1906,37453.90271,1189.7121100000004,0.033
-613,0015_357.6,Freeway,Rural,Box Elder,MD,Auto,15076.8128,15767.223720000002,690.4109200000021,0.046
-820,0154_006.8,Expressway,Suburban,Salt Lake,MD,Auto,16279.457800000002,20132.912490000002,3853.4546900000005,0.237
-819,0154_008.3,Expressway,Urban,Salt Lake,MD,Auto,18703.107799999998,21546.27435,2843.1665500000017,0.152
-657,2889_000.0,Minor Arterial,Suburban,Utah,MD,Auto,5717.695,9126.359390000001,3408.6643900000017,0.596
-626,0073_034.6,Principal Arterial,Transition,Utah,MD,Auto,11757.8324,14732.9395,2975.107100000001,0.253
-631,0266_001.7,Principal Arterial,Urban,Salt Lake,MD,Auto,6812.5035,10725.2882,3912.784700000001,0.574
-636,0154_001.4,Freeway,Transition,Salt Lake,MD,Auto,17991.008700000002,25845.88359,7854.874889999999,0.437
-680,0015_295.6,Freeway,Urban,Salt Lake,MD,Auto,17116.9724,69750.47864,52633.50624,3.075
-816,0015_299.0,Freeway,Urban,Salt Lake,MD,Auto,43857.9793,72725.82811,28867.848810000003,0.658
-648,0194_000.8,Expressway,Suburban,Utah,MD,Auto,12688.7298,17790.93566,5102.20586,0.402
-674,0015_283.9,Freeway,Urban,Utah,MD,Auto,65028.0772,77779.06752,12750.990319999997,0.196
-302,0015_289.8,Freeway,Urban,Salt Lake,MD,Auto,17412.772999999997,76448.17362,59035.40062,3.39
-662,2878_004.4,Minor Arterial,Suburban,Utah,MD,Auto,3404.6564,5971.2314799999995,2566.5750799999996,0.754
-673,0015_279.6,Freeway,Suburban,Utah,MD,Auto,56490.44560000001,64012.6048,7522.159199999995,0.133
-675,0092_002.4,Freeway,Transition,Utah,MD,Auto,7761.1886,8020.570360000001,259.3817600000002,0.033
-676,0092_002.4,Freeway,Transition,Utah,MD,Auto,6673.3695,4940.96462,-1732.40488,-0.26
-818,0215_007.7,Freeway,Urban,Salt Lake,MD,Auto,27461.9874,29979.55642,2517.569019999999,0.092
-632,0145_005.3,Expressway,Suburban,Utah,MD,Auto,16108.1397,17406.261540000003,1298.1218400000034,0.081
-672,0015_278.5,Freeway,Urban,Utah,MD,Auto,55797.2952,63695.47024000001,7898.175040000009,0.142
-658,0089_349.3,Principal Arterial,Urban,Utah,MD,Auto,9673.776,7300.65726,-2373.11874,-0.245
-335,0173_007.7,Minor Arterial,Urban,Salt Lake,MD,Auto,9953.0192,9888.30288,-64.71632000000136,-0.007
-351,0215_011.5,Freeway,Suburban,Salt Lake,MD,Auto,32733.5448,47696.19204,14962.647240000002,0.457
-406,0071_015.7,Principal Arterial,Urban,Salt Lake,MD,Auto,9529.4208,10361.90772,832.4869199999994,0.087
-407,0068_038.1,Principal Arterial,Transition,Salt Lake,MD,Auto,8007.531,9347.5668,1340.0358000000006,0.167
-617,0215_003.7,Freeway,Suburban,Salt Lake,MD,Auto,19301.356,25942.6496,6641.293600000001,0.344
-317,0210_003.9,Principal Arterial,Transition,Salt Lake,MD,Auto,1196.7264,1446.16752,249.44111999999996,0.208
-670,0015_272.7,Freeway,Suburban,Utah,MD,Auto,61162.554000000004,67083.91320000001,5921.359200000006,0.097
-671,0015_272.7,Freeway,Suburban,Utah,MD,Auto,63863.64600000001,67083.91320000001,3220.267200000002,0.05
-647,0089_344.0,Principal Arterial,Urban,Utah,MD,Auto,11653.785,9149.5342,-2504.2508,-0.215
-651,0114_005.0,Principal Arterial,Urban,Utah,MD,Auto,8130.4176,4780.360769999999,-3350.0568300000004,-0.412
-641,0015_271.6,Freeway,Urban,Utah,MD,Auto,59891.1392,65325.97136,5434.832160000005,0.091
-669,0015_269.6,Freeway,Urban,Utah,MD,Auto,55167.310000000005,58926.59488,3759.284879999992,0.068
-642,0052_001.0,Principal Arterial,Urban,Utah,MD,Auto,14743.0584,11663.44728,-3079.6111199999996,-0.209
-306,0015_267.0,Freeway,Suburban,Utah,MD,Auto,54013.4898,50405.09464,-3608.39516,-0.067
-668,0015_264.2,Freeway,Suburban,Utah,MD,Auto,41204.0584,43962.07064,2758.0122399999964,0.067
-649,0114_000.0,Principal Arterial,Urban,Utah,MD,Auto,12438.722899999999,13926.12068,1487.3977800000011,0.12
-661,0052_003.1,Principal Arterial,Urban,Utah,MD,Auto,9621.5841,5110.42536,-4511.15874,-0.469
-659,0189_002.7,Principal Arterial,Urban,Utah,MD,Auto,11611.5406,12411.5299,799.9892999999993,0.069
-667,0015_261.8,Freeway,Rural,Utah,MD,Auto,46014.6232,53036.43397,7021.810769999996,0.153
-665,0015_260.0,Freeway,Transition,Utah,MD,Auto,41823.0243,48650.88118,6827.856879999999,0.163
-660,0089_329.8,Minor Arterial,Suburban,Utah,MD,Auto,6312.406,7534.252100000001,1221.8461000000007,0.194
-319,0189_013.1,Expressway,Rural,Utah,MD,Auto,5259.5894,3371.8117300000004,-1887.7776699999995,-0.359
-322,0190_001.8,Minor Arterial,Transition,Salt Lake,MD,Auto,1988.5108,872.3094799999999,-1116.2013200000001,-0.561
-350,0189_004.0,Expressway,Suburban,Utah,MD,Auto,11728.751999999999,9077.6826,-2651.0693999999985,-0.226
-354,0171_008.8,Principal Arterial,Urban,Salt Lake,MD,Auto,9094.8572,14631.663530000002,5536.806330000001,0.609
-629,0015_303.4,Freeway,Urban,Salt Lake,MD,Auto,77596.3067,73226.11714,-4370.189559999999,-0.056
-353,0215_017.5,Freeway,Urban,Salt Lake,MD,Auto,35999.7456,56451.53544,20451.789839999998,0.568
-341,0080_123.2,Freeway,Suburban,Salt Lake,MD,Auto,45370.46,48420.43085,3049.970849999998,0.067
-301,0080_128.7,Freeway,Rural,Salt Lake,MD,Auto,19190.626,18716.781379999997,-473.8446200000035,-0.025
-333,0071_021.2,Principal Arterial,Urban,Salt Lake,MD,Auto,14958.2388,16115.79804,1157.5592400000005,0.077
-677,0080_136.1,Freeway,Rural,Salt Lake,MD,Auto,16707.558399999998,17488.51456,780.9561600000015,0.047
-325,0089_377.3,Principal Arterial,Urban,Salt Lake,MD,Auto,8723.6446,12979.8451,4256.200500000001,0.488
-332,0186_006.0,Principal Arterial,Suburban,Salt Lake,MD,Auto,16436.358,13571.012939999999,-2865.3450600000015,-0.174
-340,0080_117.7,Freeway,Urban,Salt Lake,MD,Auto,25013.6502,25043.13735,29.487150000000838,0.001
-409,2330_001.0,Minor Arterial,Urban,Salt Lake,MD,Auto,3676.2932,9437.577120000002,5761.283920000002,1.567
-628,0215_027.4,Freeway,Suburban,Davis,MD,Auto,9878.5272,11167.078130000002,1288.5509300000012,0.13
-624,0067_000.0,Freeway,Suburban,Davis,MD,Auto,10386.2493,25726.47669,15340.22739,1.477
-315,0015_319.5,Freeway,Suburban,Davis,MD,Auto,48720.273,51885.10916,3164.836159999999,0.065
-625,0067_010.1,Freeway,Suburban,Davis,MD,Auto,11176.720500000001,22532.737600000004,11356.017100000003,1.016
-616,0015_313.7,Freeway,Urban,Davis,MD,Auto,49607.8536,56662.08970999999,7054.236109999991,0.142
-711,0154_020.0,Expressway,Urban,Salt Lake,MD,Auto,13319.192000000001,17863.0336,4543.841599999998,0.341
-329,0089_412.4,Principal Arterial,Urban,Weber,MD,Auto,11089.0878,6709.379939999999,-4379.70786,-0.395
-612,0015_330.1,Freeway,Urban,Davis,MD,Auto,43828.413,45368.658299999996,1540.245299999995,0.035
-634,0085_015.5,Expressway,Suburban,Salt Lake,MD,Auto,8286.049200000001,15222.320880000003,6936.271680000002,0.837
-627,0154_012.9,Expressway,Suburban,Salt Lake,MD,Auto,21426.4479,23830.91472,2404.4668200000015,0.112
-643,2932_001.3,Collector,Transition,Utah,MD,Auto,3836.2812,3649.22493,-187.05627000000004,-0.049
-601,0092_007.6,Collector,Transition,Utah,MD,Auto,951.1392000000001,382.7975,-568.3417000000001,-0.598
-602,0092_018.8,Collector,Rural,Utah,MD,Auto,649.0792,51.95512,-597.12408,-0.92
-638,0015_242.4,Freeway,Transition,Utah,PM,Auto,6415.6704,7424.22244,1008.5520399999996,0.157
-650,0006_159.8,Principal Arterial,Suburban,Utah,PM,Auto,3888.06,2971.6440000000002,-916.4159999999997,-0.236
-639,0015_248.8,Freeway,Suburban,Utah,PM,Auto,11263.0305,11954.33396,691.3034599999992,0.061
-655,0015_253.6,Freeway,Rural,Utah,PM,Auto,15531.348000000002,15902.267460000003,370.919460000001,0.024
-653,0156_001.0,Principal Arterial,Urban,Utah,PM,Auto,8126.4299,7803.93442,-322.4954800000005,-0.04
-646,0077_007.4,Principal Arterial,Suburban,Utah,PM,Auto,7675.3355,7393.1420499999995,-282.19345000000067,-0.037
-664,0089_326.5,Principal Arterial,Suburban,Utah,PM,Auto,0.0,4333.7624,4333.7624,inf
-312,0006_181.6,Expressway,Rural,Utah,PM,Auto,2157.1893,2600.18766,442.99836000000005,0.205
-321,0006_146.9,Principal Arterial,Rural,Utah,PM,Auto,393.1694,309.7946,-83.3748,-0.212
-327,0006_174.4,Expressway,Suburban,Utah,PM,Auto,7102.8684,7808.83146,705.96306,0.099
-349,0015_246.9,Freeway,Transition,Utah,PM,Auto,9743.290700000001,10395.67705,652.3863499999989,0.067
-416,0089_297.1,Expressway,Rural,Utah,PM,Auto,683.88,704.1461999999999,20.266199999999913,0.03
-611,0015_258.8,Freeway,Suburban,Utah,PM,Auto,24991.371900000002,26108.731620000002,1117.3597200000004,0.045
-815,0080_104.3,Freeway,Transition,Salt Lake,PM,Auto,6619.4495,5872.8192,-746.6302999999998,-0.113
-348,0015_340.3,Freeway,Suburban,Weber,PM,Auto,26487.0882,23629.962659999997,-2857.125540000001,-0.108
-613,0015_357.6,Freeway,Rural,Box Elder,PM,Auto,9951.2232,9167.3138,-783.9094000000005,-0.079
-820,0154_006.8,Expressway,Suburban,Salt Lake,PM,Auto,13410.516300000001,12554.538410000001,-855.9778900000001,-0.064
-819,0154_008.3,Expressway,Urban,Salt Lake,PM,Auto,14777.534599999999,13444.242909999999,-1333.29169,-0.09
-657,2889_000.0,Minor Arterial,Suburban,Utah,PM,Auto,4488.1819,6024.94807,1536.7661700000008,0.342
-626,0073_034.6,Principal Arterial,Transition,Utah,PM,Auto,8718.9532,9857.66148,1138.7082800000007,0.131
-631,0266_001.7,Principal Arterial,Urban,Salt Lake,PM,Auto,4603.951,7034.66995,2430.7189500000004,0.528
-636,0154_001.4,Freeway,Transition,Salt Lake,PM,Auto,14518.8153,18156.91695,3638.1016499999987,0.251
-680,0015_295.6,Freeway,Urban,Salt Lake,PM,Auto,10351.768,40597.8728,30246.104799999997,2.922
-816,0015_299.0,Freeway,Urban,Salt Lake,PM,Auto,12515.627700000001,43419.74298,30904.11528,2.469
-648,0194_000.8,Expressway,Suburban,Utah,PM,Auto,8633.8514,10672.41488,2038.5634800000007,0.236
-674,0015_283.9,Freeway,Urban,Utah,PM,Auto,44920.0276,45640.06832,720.0407199999972,0.016
-302,0015_289.8,Freeway,Urban,Salt Lake,PM,Auto,8204.491399999999,44286.41587999999,36081.924479999994,4.398
-662,2878_004.4,Minor Arterial,Suburban,Utah,PM,Auto,2604.805,3925.7740799999997,1320.9690799999998,0.507
-673,0015_279.6,Freeway,Suburban,Utah,PM,Auto,38819.423200000005,37099.189600000005,-1720.2335999999996,-0.044
-675,0092_002.4,Freeway,Transition,Utah,PM,Auto,5495.2826000000005,4630.83025,-864.4523500000005,-0.157
-676,0092_002.4,Freeway,Transition,Utah,PM,Auto,4884.5933,3525.23392,-1359.3593800000003,-0.278
-818,0215_007.7,Freeway,Urban,Salt Lake,PM,Auto,17520.645800000002,21517.87889,3997.233089999998,0.228
-632,0145_005.3,Expressway,Suburban,Utah,PM,Auto,11873.0439,10931.40711,-941.6367900000005,-0.079
-672,0015_278.5,Freeway,Urban,Utah,PM,Auto,37705.8856,38559.94232,854.0567200000005,0.023
-658,0089_349.3,Principal Arterial,Urban,Utah,PM,Auto,5935.059,5045.17032,-889.88868,-0.15
-335,0173_007.7,Minor Arterial,Urban,Salt Lake,PM,Auto,7724.414400000001,7021.3976,-703.0168000000003,-0.091
-351,0215_011.5,Freeway,Suburban,Salt Lake,PM,Auto,25951.2036,31084.632480000004,5133.428880000003,0.198
-406,0071_015.7,Principal Arterial,Urban,Salt Lake,PM,Auto,7402.0632,7592.687279999999,190.6240799999996,0.026
-407,0068_038.1,Principal Arterial,Transition,Salt Lake,PM,Auto,6629.6320000000005,7291.2557,661.6236999999992,0.1
-617,0215_003.7,Freeway,Suburban,Salt Lake,PM,Auto,15998.052,20556.4844,4558.4324000000015,0.285
-317,0210_003.9,Principal Arterial,Transition,Salt Lake,PM,Auto,924.2207999999999,957.9556799999999,33.734879999999976,0.037
-670,0015_272.7,Freeway,Suburban,Utah,PM,Auto,41797.878000000004,40448.2362,-1349.6418000000049,-0.032
-671,0015_272.7,Freeway,Suburban,Utah,PM,Auto,43256.106,40448.2362,-2807.8698000000004,-0.065
-647,0089_344.0,Principal Arterial,Urban,Utah,PM,Auto,8238.239,7515.19725,-723.0417499999994,-0.088
-651,0114_005.0,Principal Arterial,Urban,Utah,PM,Auto,6406.1706,3845.61819,-2560.5524100000002,-0.4
-641,0015_271.6,Freeway,Urban,Utah,PM,Auto,40241.704,39578.865880000005,-662.8381199999931,-0.016
-669,0015_269.6,Freeway,Urban,Utah,PM,Auto,39113.6436,35272.950000000004,-3840.6935999999987,-0.098
-642,0052_001.0,Principal Arterial,Urban,Utah,PM,Auto,9894.496799999999,7646.10336,-2248.393439999999,-0.227
-306,0015_267.0,Freeway,Suburban,Utah,PM,Auto,37986.021,31414.46918,-6571.551820000001,-0.173
-668,0015_264.2,Freeway,Suburban,Utah,PM,Auto,30258.9956,27603.83072,-2655.1648799999966,-0.088
-649,0114_000.0,Principal Arterial,Urban,Utah,PM,Auto,8163.4765,8756.36265,592.8861499999994,0.073
-661,0052_003.1,Principal Arterial,Urban,Utah,PM,Auto,6636.766500000001,4063.20579,-2573.5607100000007,-0.388
-659,0189_002.7,Principal Arterial,Urban,Utah,PM,Auto,7507.3956,8277.44378,770.0481799999998,0.103
-667,0015_261.8,Freeway,Rural,Utah,PM,Auto,33568.9081,33452.63441,-116.2736900000018,-0.003
-665,0015_260.0,Freeway,Transition,Utah,PM,Auto,30373.995199999998,30528.48134,154.4861400000009,0.005
-660,0089_329.8,Minor Arterial,Suburban,Utah,PM,Auto,5151.918000000001,6147.4329,995.5148999999992,0.193
-319,0189_013.1,Expressway,Rural,Utah,PM,Auto,3956.0023,2219.52346,-1736.4788400000002,-0.439
-322,0190_001.8,Minor Arterial,Transition,Salt Lake,PM,Auto,1358.9736,546.862,-812.1116000000001,-0.598
-350,0189_004.0,Expressway,Suburban,Utah,PM,Auto,8227.198,7047.944399999999,-1179.253600000001,-0.143
-354,0171_008.8,Principal Arterial,Urban,Salt Lake,PM,Auto,6423.8801,10647.609830000001,4223.729730000001,0.658
-629,0015_303.4,Freeway,Urban,Salt Lake,PM,Auto,46200.501599999996,43328.107789999995,-2872.3938100000014,-0.062
-353,0215_017.5,Freeway,Urban,Salt Lake,PM,Auto,33073.3776,35773.22304,2699.8454399999973,0.082
-341,0080_123.2,Freeway,Suburban,Salt Lake,PM,Auto,31196.108500000002,32481.1406,1285.0320999999967,0.041
-301,0080_128.7,Freeway,Rural,Salt Lake,PM,Auto,12953.267,12725.753449999998,-227.5135500000015,-0.018
-333,0071_021.2,Principal Arterial,Urban,Salt Lake,PM,Auto,9666.6216,12089.9886,2423.367,0.251
-677,0080_136.1,Freeway,Rural,Salt Lake,PM,Auto,11834.585599999999,11979.8144,145.22880000000077,0.012
-325,0089_377.3,Principal Arterial,Urban,Salt Lake,PM,Auto,5802.9333,8278.242839999999,2475.3095399999993,0.427
-332,0186_006.0,Principal Arterial,Suburban,Salt Lake,PM,Auto,10574.314199999999,11767.12908,1192.8148800000017,0.113
-340,0080_117.7,Freeway,Urban,Salt Lake,PM,Auto,17500.8372,19519.21125,2018.3740499999985,0.115
-409,2330_001.0,Minor Arterial,Urban,Salt Lake,PM,Auto,2657.2744000000002,6256.33312,3599.05872,1.354
-628,0215_027.4,Freeway,Suburban,Davis,PM,Auto,8103.846100000001,7745.47285,-358.37325000000055,-0.044
